Sl.No,Space,Type,Section,Name,Values,2018-19
1, ,Receipts,Revenue Receipts,Tax revenue,96830,96830
2, ,Receipts,Revenue Receipts,Non-Tax revenue,6773,6773
3, ,Receipts,Revenue Receipts,Share of Union taxes,35895,35895
4, ,Receipts,Revenue Receipts,Grants-in-aid,25481,25481
5, ,Disbursements,Revenue Expenditure,General Services,42655,42655
6, ,Disbursements,Revenue Expenditure,Social Services,67935,67935
7, ,Disbursements,Revenue Expenditure,Economic Services,48285,48285
8, ,Disbursements,Revenue Expenditure,Grants-in-aid,5425,5425
9, ,Receipts,Capital and others,Misc. Capital receipts,0,0
10, ,Receipts,Capital and others,Recoveries of Loans and Advances,31,31
11, ,Receipts,Capital and others,Public Debt Receipts,41914,41914
12, ,Receipts,Contingency Fund, ,0,0
13, ,Receipts,Public Account Receipts, ,237760,237760
14, ,Disbursements,Capital and others,Capital Outlay,34659,34659
15, ,Disbursements,Capital and others,Loans and Advances disbursed,4487,4487
16, ,Disbursements,Capital and others,Repayment of public debt,11083,11083
17, ,Disbursements,Capital and others,Contingency Fund,0,0
18, ,Disbursements,Capital and others,Public Account disbursements,234330,234330
