Root,Type,Sub Type,Minor Head,Year,Values
Receipts,Revenue Receipts,Tax Revenue,State Goods and Service Tax,2017-18,24182
Receipts,Revenue Receipts,Tax Revenue,Taxes on Agricultural Income,2017-18,15
Receipts,Revenue Receipts,Tax Revenue,"Taxes on Sales, Trade, etc.",2017-18,25093
Receipts,Revenue Receipts,Tax Revenue,State Excise,2017-18,17949
Receipts,Revenue Receipts,Tax Revenue,Taxes on Vehicles,2017-18,6209
Receipts,Revenue Receipts,Tax Revenue,Stamps and Registration fees,2017-18,9024
Receipts,Revenue Receipts,Tax Revenue,Land Revenue,2017-18,195
Receipts,Revenue Receipts,Tax Revenue,Taxes on Goods and Passengers,2017-18,1279
Receipts,Revenue Receipts,Tax Revenue,Taxes and Duties on Electricity,2017-18,1485
Receipts,Revenue Receipts,Tax Revenue,Other Taxes on Income and Expenditure,2017-18,964
Receipts,Revenue Receipts,Tax Revenue,Other Taxes and Duties on Commodities and Services,2017-18,736
Receipts,Revenue Receipts,Non Tax Revenue,Interest receipts,2017-18,1178
Receipts,Revenue Receipts,Non Tax Revenue,Dividend and profits,2017-18,79
Receipts,Revenue Receipts,Non Tax Revenue,Nonferrous Mining and Metallurgical Industries,2017-18,2747
Receipts,Revenue Receipts,Non Tax Revenue,Medical and Public Health,2017-18,364
Receipts,Revenue Receipts,Non Tax Revenue,Other Administrative Services,2017-18,271
Receipts,Revenue Receipts,Non Tax Revenue,Forestry and Wild Life,2017-18,314
Receipts,Revenue Receipts,Non Tax Revenue,"Education, Sports and Culture",2017-18,176
Receipts,Revenue Receipts,Non Tax Revenue,Police,2017-18,253
Receipts,Revenue Receipts,Non Tax Revenue,Roads and Bridges ,2017-18,103
Receipts,Revenue Receipts,Non Tax Revenue,Other non-tax receipts,2017-18,992
Receipts,Revenue Receipts,Stateï¿½s share of Union taxes and duties,,2017-18,31752
Receipts,Revenue Receipts,Grants-in-aid from Government of  India,Non plan grants,2017-18,0
Receipts,Revenue Receipts,Grants-in-aid from Government of  India,Grants for State Plan schemes,2017-18,0
Receipts,Revenue Receipts,Grants-in-aid from Government of  India,Grants for Central plan schemes,2017-18,0
Receipts,Revenue Receipts,Grants-in-aid from Government of  India,Grants for Centrally sponsored schemes,2017-18,11617
Receipts,Revenue Receipts,Grants-in-aid from Government of  India,Other transfers/Grants to States,2017-18,7316
Receipts,Revenue Receipts,Grants-in-aid from Government of  India,Finance Commission Grants,2017-18,2708
Receipts,Capital Receipts,Miscellaneous Capital Receipts,,2017-18,4
Receipts,Capital Receipts,Recoveries of Loans and  Advances,,2017-18,137
Receipts,Capital Receipts,Public Debt Receipts,Internal Debt (excluding Ways and Means Advances and Overdrafts),2017-18,23179
Receipts,Capital Receipts,Public Debt Receipts,Loans and Advances from Government of India,2017-18,1943
Receipts,Contingency Fund Receipts,,,2017-18,0
Receipts,Public Account Receipts,,,2017-18,200615
Expenditure/Disbursements,Revenue Expenditure,General Services(including interest payments),,2017-18,34484
Expenditure/Disbursements,Revenue Expenditure,Social Services,,2017-18,58652
Expenditure/Disbursements,Revenue Expenditure,Economic Services,,2017-18,42856
Expenditure/Disbursements,Revenue Expenditure,Grants-in-aid and contributions,,2017-18,6490
Expenditure/Disbursements,Capital Expenditure,General Services,,2017-18,977
Expenditure/Disbursements,Capital Expenditure,Social Services,,2017-18,8677
Expenditure/Disbursements,Capital Expenditure,Economic Services,,2017-18,21013
Expenditure/Disbursements,Disbursements of Loans and  Advances,General Services,,2017-18,0
Expenditure/Disbursements,Disbursements of Loans and  Advances,Social Services,,2017-18,1178
Expenditure/Disbursements,Disbursements of Loans and  Advances,Economic Services,,2017-18,3910
Expenditure/Disbursements,Disbursements of Loans and  Advances,Miscellaneous Loans,,2017-18,5
Expenditure/Disbursements,Repayment of Public Debt,Internal Debt (excluding Ways and Means Advances and Overdrafts),,2017-18,7087
Expenditure/Disbursements,Repayment of Public Debt,Loans and Advances from Government of India,,2017-18,1182
Expenditure/Disbursements,Contingency Fund disbursements,,,2017-18,0
Expenditure/Disbursements,Public Account disbursements,,,2017-18,194537
Receipts,Revenue Receipts,Tax Revenue,State Goods and Service Tax,2018-19,41956
Receipts,Revenue Receipts,Tax Revenue,Taxes on Agricultural Income,2018-19,0
Receipts,Revenue Receipts,Tax Revenue,"Taxes on Sales, Trade, etc.",2018-19,14003
Receipts,Revenue Receipts,Tax Revenue,State Excise,2018-19,19944
Receipts,Revenue Receipts,Tax Revenue,Taxes on Vehicles,2018-19,6568
Receipts,Revenue Receipts,Tax Revenue,Stamps and Registration fees,2018-19,10775
Receipts,Revenue Receipts,Tax Revenue,Land Revenue,2018-19,144
Receipts,Revenue Receipts,Tax Revenue,Taxes on Goods and Passengers,2018-19,28
Receipts,Revenue Receipts,Tax Revenue,Taxes and Duties on Electricity,2018-19,2334
Receipts,Revenue Receipts,Tax Revenue,Other Taxes on Income and Expenditure,2018-19,1057
Receipts,Revenue Receipts,Tax Revenue,Other Taxes and Duties on Commodities and Services,2018-19,21
Receipts,Revenue Receipts,Non Tax Revenue,Interest receipts,2018-19,1112
Receipts,Revenue Receipts,Non Tax Revenue,Dividend and profits,2018-19,38
Receipts,Revenue Receipts,Non Tax Revenue,Nonferrous Mining and Metallurgical Industries,2018-19,3027
Receipts,Revenue Receipts,Non Tax Revenue,Medical and Public Health,2018-19,330
Receipts,Revenue Receipts,Non Tax Revenue,Other Administrative Services,2018-19,253
Receipts,Revenue Receipts,Non Tax Revenue,Forestry and Wild Life,2018-19,309
Receipts,Revenue Receipts,Non Tax Revenue,"Education, Sports and Culture",2018-19,200
Receipts,Revenue Receipts,Non Tax Revenue,Police,2018-19,241
Receipts,Revenue Receipts,Non Tax Revenue,Roads and Bridges ,2018-19,105
Receipts,Revenue Receipts,Non Tax Revenue,Other non-tax receipts,2018-19,1158
Receipts,Revenue Receipts,Stateï¿½s share of Union taxes and duties,,2018-19,35895
Receipts,Revenue Receipts,Grants-in-aid from Government of  India,Non plan grants,2018-19,0
Receipts,Revenue Receipts,Grants-in-aid from Government of  India,Grants for State Plan schemes,2018-19,0
Receipts,Revenue Receipts,Grants-in-aid from Government of  India,Grants for Central plan schemes,2018-19,0
Receipts,Revenue Receipts,Grants-in-aid from Government of  India,Grants for Centrally sponsored schemes,2018-19,10393
Receipts,Revenue Receipts,Grants-in-aid from Government of  India,Other transfers/Grants to States,2018-19,11714
Receipts,Revenue Receipts,Grants-in-aid from Government of  India,Finance Commission Grants,2018-19,3374
Receipts,Capital Receipts,Miscellaneous Capital Receipts,,2018-19,6
Receipts,Capital Receipts,Recoveries of Loans and  Advances,,2018-19,31
Receipts,Capital Receipts,Public Debt Receipts,Internal Debt (excluding Ways and Means Advances and Overdrafts),2018-19,40470
Receipts,Capital Receipts,Public Debt Receipts,Loans and Advances from Government of India,2018-19,1444
Receipts,Contingency Fund Receipts,,,2018-19,0
Receipts,Public Account Receipts,,,2018-19,237760
Expenditure/Disbursements,Revenue Expenditure,General Services(including interest payments),,2018-19,42147
Expenditure/Disbursements,Revenue Expenditure,Social Services,,2018-19,1
Expenditure/Disbursements,Revenue Expenditure,Economic Services,,2018-19,16424
Expenditure/Disbursements,Revenue Expenditure,Grants-in-aid and contributions,,2018-19,21584
Expenditure/Disbursements,Capital Expenditure,General Services,,2018-19,6763
Expenditure/Disbursements,Capital Expenditure,Social Services,,2018-19,11308
Expenditure/Disbursements,Capital Expenditure,Economic Services,,2018-19,203
Expenditure/Disbursements,Disbursements of Loans and  Advances,General Services,,2018-19,65
Expenditure/Disbursements,Disbursements of Loans and  Advances,Social Services,,2018-19,2693
Expenditure/Disbursements,Disbursements of Loans and  Advances,Economic Services,,2018-19,1140
Expenditure/Disbursements,Disbursements of Loans and  Advances,Miscellaneous Loans,,2018-19,34
Expenditure/Disbursements,Repayment of Public Debt,Internal Debt (excluding Ways and Means Advances and Overdrafts),,2018-19,9741
Expenditure/Disbursements,Repayment of Public Debt,Loans and Advances from Government of India,,2018-19,1342
Expenditure/Disbursements,Contingency Fund disbursements,,,2018-19,0
Expenditure/Disbursements,Public Account disbursements,,,2018-19,234330
Receipts,Revenue Receipts,Tax Revenue,State Goods and Service Tax,2019-20,42147
Receipts,Revenue Receipts,Tax Revenue,Taxes on Agricultural Income,2019-20,1
Receipts,Revenue Receipts,Tax Revenue,"Taxes on Sales, Trade, etc.",2019-20,16424
Receipts,Revenue Receipts,Tax Revenue,State Excise,2019-20,21584
Receipts,Revenue Receipts,Tax Revenue,Taxes on Vehicles,2019-20,6763
Receipts,Revenue Receipts,Tax Revenue,Stamps and Registration fees,2019-20,11308
Receipts,Revenue Receipts,Tax Revenue,Land Revenue,2019-20,203
Receipts,Revenue Receipts,Tax Revenue,Taxes on Goods and Passengers,2019-20,65
