Root,Type,Sub Type,Minor Head,Year,Values
Receipts,Revenue Receipts,Tax Revenue,State Goods and Service Tax,2015-16,0
Receipts,Revenue Receipts,Tax Revenue,Taxes on Agricultural Income,2015-16,0
Receipts,Revenue Receipts,Tax Revenue,"Taxes on Sales, Trade, etc.",2015-16,40449
Receipts,Revenue Receipts,Tax Revenue,State Excise,2015-16,15333
Receipts,Revenue Receipts,Tax Revenue,Taxes on Vehicles,2015-16,5001
Receipts,Revenue Receipts,Tax Revenue,Stamps and Registration fees,2015-16,8215
Receipts,Revenue Receipts,Tax Revenue,Land Revenue,2015-16,181
Receipts,Revenue Receipts,Tax Revenue,Taxes on Goods and Passengers,2015-16,3125
Receipts,Revenue Receipts,Tax Revenue,Taxes and Duties on Electricity,2015-16,1170
Receipts,Revenue Receipts,Tax Revenue,Other Taxes on Income and Expenditure,2015-16,840
Receipts,Revenue Receipts,Tax Revenue,Other Taxes and Duties on Commodities and Services,2015-16,1224
Receipts,Revenue Receipts,Non Tax Revenue,Interest receipts,2015-16,1293
Receipts,Revenue Receipts,Non Tax Revenue,Dividend and profits,2015-16,69
Receipts,Revenue Receipts,Non Tax Revenue,Nonferrous Mining and Metallurgical Industries,2015-16,2004
Receipts,Revenue Receipts,Non Tax Revenue,Medical and Public Health,2015-16,261
Receipts,Revenue Receipts,Non Tax Revenue,Other Administrative Services,2015-16,269
Receipts,Revenue Receipts,Non Tax Revenue,Forestry and Wild Life,2015-16,168
Receipts,Revenue Receipts,Non Tax Revenue,"Education, Sports and Culture",2015-16,160
Receipts,Revenue Receipts,Non Tax Revenue,Police,2015-16,172
Receipts,Revenue Receipts,Non Tax Revenue,Roads and Bridges ,2015-16,56
Receipts,Revenue Receipts,Non Tax Revenue,Other non-tax receipts,2015-16,903
Receipts,Revenue Receipts,Stateï¿½s share of Union taxes and duties,,2015-16,23983
Receipts,Revenue Receipts,Grants-in-aid from Government of  India,Non plan grants,2015-16,5548
Receipts,Revenue Receipts,Grants-in-aid from Government of  India,Grants for State Plan schemes,2015-16,8105
Receipts,Revenue Receipts,Grants-in-aid from Government of  India,Grants for Central plan schemes,2015-16,139
Receipts,Revenue Receipts,Grants-in-aid from Government of  India,Grants for Centrally sponsored schemes,2015-16,137
Receipts,Revenue Receipts,Grants-in-aid from Government of  India,Other transfers/Grants to States,2015-16,0
